user_id,avg_days_between_orders,customer_segment,discount_percent
1,19.0,Loyal Shopper,5
2,16.285714285714285,Regular Shopper,10
3,12.0,Regular Shopper,10
4,17.0,Loyal Shopper,5
5,11.5,Regular Shopper,10
6,13.333333333333334,Regular Shopper,10
7,10.45,Regular Shopper,10
8,23.333333333333332,Inactive User,20
9,22.0,Loyal Shopper,5
10,21.8,Loyal Shopper,5
11,18.714285714285715,Loyal Shopper,5
12,26.0,Inactive User,20
13,7.666666666666667,Occasional Shopper,15
14,21.23076923076923,Loyal Shopper,5
15,10.636363636363637,Regular Shopper,10
16,19.333333333333332,Loyal Shopper,5
17,8.0,Occasional Shopper,15
18,5.833333333333333,Occasional Shopper,15
19,9.333333333333334,Occasional Shopper,15
20,11.25,Regular Shopper,10
21,10.454545454545455,Regular Shopper,10
22,12.733333333333333,Regular Shopper,10
23,18.5,Loyal Shopper,5
24,14.666666666666666,Regular Shopper,10
25,30.0,Inactive User,20
26,12.166666666666666,Regular Shopper,10
27,4.432098765432099,Occasional Shopper,15
28,11.541666666666666,Regular Shopper,10
29,11.61111111111111,Regular Shopper,10
30,21.625,Loyal Shopper,5
31,5.55,Occasional Shopper,15
32,22.2,Loyal Shopper,5
33,25.333333333333332,Inactive User,20
34,22.0,Loyal Shopper,5
35,21.333333333333332,Loyal Shopper,5
36,9.54054054054054,Occasional Shopper,15
37,13.521739130434783,Regular Shopper,10
38,21.75,Loyal Shopper,5
39,11.285714285714286,Regular Shopper,10
40,12.444444444444445,Regular Shopper,10
41,26.6,Inactive User,20
42,13.875,Regular Shopper,10
43,11.818181818181818,Regular Shopper,10
44,30.0,Inactive User,20
45,15.75,Regular Shopper,10
46,17.36842105263158,Loyal Shopper,5
47,9.6,Occasional Shopper,15
48,20.9,Loyal Shopper,5
49,24.875,Inactive User,20
50,5.432835820895522,Occasional Shopper,15
51,15.333333333333334,Regular Shopper,10
52,8.851851851851851,Occasional Shopper,15
53,15.333333333333334,Regular Shopper,10
54,4.7272727272727275,Occasional Shopper,15
55,19.428571428571427,Loyal Shopper,5
56,7.0,Occasional Shopper,15
57,8.071428571428571,Occasional Shopper,15
58,9.133333333333333,Occasional Shopper,15
59,16.1,Regular Shopper,10
60,25.5,Inactive User,20
61,22.75,Loyal Shopper,5
62,16.8,Loyal Shopper,5
63,9.23076923076923,Occasional Shopper,15
64,11.7,Regular Shopper,10
65,14.0,Regular Shopper,10
66,28.833333333333332,Inactive User,20
67,7.458333333333333,Occasional Shopper,15
68,28.5,Inactive User,20
69,11.2,Regular Shopper,10
70,19.923076923076923,Loyal Shopper,5
71,14.391304347826088,Regular Shopper,10
72,16.5,Loyal Shopper,5
73,23.285714285714285,Inactive User,20
74,16.0,Regular Shopper,10
75,8.73913043478261,Occasional Shopper,15
76,21.11111111111111,Loyal Shopper,5
77,14.666666666666666,Regular Shopper,10
78,14.833333333333334,Regular Shopper,10
79,19.857142857142858,Loyal Shopper,5
80,9.333333333333334,Occasional Shopper,15
81,21.0,Loyal Shopper,5
82,11.263157894736842,Regular Shopper,10
83,20.0,Loyal Shopper,5
84,21.625,Loyal Shopper,5
85,16.428571428571427,Regular Shopper,10
